PID,Hotel ID,Item Name,Description,Cost
1,1,Tandoori Chicken,Marinated chicken cooked in a tandoor oven,350
2,1,Butter Chicken,Tender chicken cooked in a creamy tomato sauce,400
3,1,Paneer Tikka,Grilled cubes of paneer marinated in spices,300
4,1,Chicken Biryani,Fragrant rice cooked with succulent chicken pieces,450
5,1,Gulab Jamun,Deep-fried milk solids soaked in sugar syrup,150
6,1,Masala Dosa,Crispy crepe filled with spiced potato filling,200
7,1,Hyderabadi Biryani,Traditional biryani with aromatic spices,400
8,1,Mutton Rogan Josh,Tender mutton cooked in a rich gravy,500
9,1,Chole Bhature,Spiced chickpea curry served with fried bread,250
10,1,Palak Paneer,Paneer cubes in a creamy spinach gravy,350
11,2,Chettinad Chicken,Spicy chicken curry with Chettinad spices,400
12,2,Murgh Malai Kebab,Creamy chicken kebabs marinated in spices,350
13,2,Prawn Masala,Stir-fried prawns in a spicy masala gravy,500
14,2,Podi Dosa,Dosa coated with a spicy lentil powder,250
15,2,Parotta and Salna,Layered flatbread served with spicy curry,300
16,2,Andhra Chicken Curry,Chicken curry with Andhra-style spices,400
17,2,Mutton Biryani,Flavorful rice cooked with tender mutton pieces,450
18,2,Palak Chicken,Creamy chicken curry with spinach,350
19,2,Gobi Manchurian,Crispy cauliflower florets in a tangy sauce,300
20,2,Coconut Payasam,Rice pudding with coconut milk and jaggery,200
21,3,Chicken 65,Spicy deep-fried chicken,300
22,3,Fish Curry,Fresh fish cooked in tangy gravy,400
23,3,Vegetable Biryani,Fragrant rice cooked with mixed vegetables,350
24,3,Rasam,South Indian soup with tamarind and spices,100
25,3,Veg Pulao,Fragrant rice cooked with vegetables,250
26,3,Chicken Kebab,Grilled chicken skewers marinated in spices,350
27,3,Butter Naan,Soft and fluffy Indian bread,50
28,3,Dahi Vada,Deep-fried lentil dumplings soaked in yogurt,150
29,3,Veg Manchurian,Fried vegetable balls in a tangy sauce,200
30,3,Carrot Halwa,Sweet dessert made from carrots,200
31,4,Pizza Margherita,Classic pizza with tomato mozzarella and basil,300
32,4,Spaghetti Carbonara,Pasta with creamy egg sauce and pancetta,350
33,4,Caesar Salad,Crisp romaine lettuce with croutons and Caesar dressing,250
34,4,Lasagna,Layered pasta dish with meat and cheese,400
